N.Y. POLICE DEPT,2729914
PORT AUTHORITY,5439
N.Y. TRANSIT POLICE,657
HEALTH & HOSP CORP,2193
U.S. PARK POLICE,46
N.Y. STATE POLICE,898
N.Y. HOUSING POLICE,288346
TRI-BORO BRDG TUNNL,1998
DISTRICT ATTORNEY OFFICE,1
METRO NORTH,300
N.Y. STATE PARKS,135
NYC DEPT ENVIRONMENTAL PROTECTION,5
NEW YORK CITY SHERIFF OFFICE,95
DEPT OF CORRECTIONS,93
NYS DEPT TAX AND FINANCE,43
FIRE DEPT (FIRE MARSHAL),82
LONG ISLAND RAILRD,189
POLICE DEPT NYC,4963
AMTRACK,87
CONRAIL,6
STATN IS RAPID TRANS,46
SEA GATE POLICE DEPT,24
NYC PARKS,35