CONRAIL,FELONY,1
SEA GATE POLICE DEPT,FELONY,6
HEALTH & HOSP CORP,FELONY,689
PORT AUTHORITY,FELONY,1716
LONG ISLAND RAILRD,FELONY,130
POLICE DEPT NYC,FELONY,1415
NEW YORK CITY SHERIFF OFFICE,FELONY,47
TRI-BORO BRDG TUNNL,FELONY,243
DISTRICT ATTORNEY OFFICE,FELONY,1
U.S. PARK POLICE,FELONY,11
DEPT OF CORRECTIONS,FELONY,59
NYC PARKS,FELONY,6
N.Y. STATE PARKS,FELONY,49
STATN IS RAPID TRANS,FELONY,19
NYS DEPT TAX AND FINANCE,FELONY,12
N.Y. STATE POLICE,FELONY,327
NYC DEPT ENVIRONMENTAL PROTECTION,FELONY,2
AMTRACK,FELONY,44
N.Y. TRANSIT POLICE,FELONY,296
N.Y. HOUSING POLICE,FELONY,66885
FIRE DEPT (FIRE MARSHAL),FELONY,59
METRO NORTH,FELONY,99
N.Y. POLICE DEPT,FELONY,887231